Instance name, X location, Y location, Voltage
_095_, 31.273, 24.48, 1.8
_114_, 31.273, 24.48, 1.8
_071_, 40.706, 24.48, 1.8
_093_, 40.706, 24.48, 1.8
_121_, 40.706, 24.48, 1.8
input5, 40.706, 24.48, 1.8
_120_, 5.52, 19.04, 1.8
PHY_EDGE_ROW_2_Left_18, 5.52, 19.04, 1.8
PHY_EDGE_ROW_3_Left_19, 5.52, 19.04, 1.8
input1, 5.52, 19.04, 1.8
FILLER_0_3_6, 5.52, 19.04, 1.8
_044_, 50.14, 19.04, 1.8
PHY_EDGE_ROW_2_Right_2, 50.14, 19.04, 1.8
PHY_EDGE_ROW_3_Right_3, 50.14, 19.04, 1.8
output13, 50.14, 19.04, 1.8
_045_, 13.68, 19.04, 1.8
_088_, 13.68, 19.04, 1.8
_105_, 13.68, 19.04, 1.8
_111_, 13.68, 19.04, 1.8
FILLER_0_3_16, 13.68, 19.04, 1.8
_113_, 31.273, 19.04, 1.8
FILLER_0_3_48, 31.273, 19.04, 1.8
_055_, 40.706, 19.04, 1.8
_072_, 40.706, 19.04, 1.8
input4, 40.706, 19.04, 1.8
FILLER_0_2_74, 40.706, 19.04, 1.8
FILLER_0_3_81, 40.706, 19.04, 1.8
_119_, 5.52, 13.6, 1.8
PHY_EDGE_ROW_0_Left_16, 5.52, 13.6, 1.8
PHY_EDGE_ROW_1_Left_17, 5.52, 13.6, 1.8
PHY_EDGE_ROW_0_Right_0, 50.14, 13.6, 1.8
PHY_EDGE_ROW_1_Right_1, 50.14, 13.6, 1.8
output14, 50.14, 13.6, 1.8
output17, 50.14, 13.6, 1.8
FILLER_0_0_91, 50.14, 13.6, 1.8
output16, 13.68, 13.6, 1.8
FILLER_0_0_15, 13.68, 13.6, 1.8
FILLER_0_2_23, 13.68, 13.6, 1.8
_059_, 31.273, 13.6, 1.8
_060_, 31.273, 13.6, 1.8
_061_, 31.273, 13.6, 1.8
input9, 31.273, 13.6, 1.8
FILLER_0_2_62, 31.273, 13.6, 1.8
_058_, 40.706, 13.6, 1.8
_062_, 40.706, 13.6, 1.8
output18, 40.706, 13.6, 1.8
output19, 40.706, 13.6, 1.8
output20, 40.706, 13.6, 1.8
output21, 40.706, 13.6, 1.8
FILLER_0_1_85, 40.706, 13.6, 1.8
FILLER_0_2_85, 40.706, 13.6, 1.8

