Instance name, X location, Y location, Voltage
_119__35, 5.52, 27.2, 2.28182e-06
PHY_EDGE_ROW_5_Left_21, 5.52, 27.2, 2.28182e-06
PHY_EDGE_ROW_6_Left_22, 5.52, 27.2, 2.28182e-06
FILLER_0_7_3, 5.52, 27.2, 2.28182e-06
_071_, 50.14, 27.2, 1.87487e-06
PHY_EDGE_ROW_5_Right_5, 50.14, 27.2, 1.87487e-06
PHY_EDGE_ROW_6_Right_6, 50.14, 27.2, 1.87487e-06
_085_, 15.33, 27.2, 2.17924e-06
clkbuf_1_0__f_osc_ck, 15.33, 27.2, 2.17924e-06
hold1, 15.33, 27.2, 2.17924e-06
_050_, 37.64, 27.2, 1.86686e-06
_073_, 37.64, 27.2, 1.86686e-06
_092_, 37.64, 27.2, 1.86686e-06
_093_, 37.64, 27.2, 1.86686e-06
_095_, 37.64, 27.2, 1.86686e-06
_114_, 37.64, 27.2, 1.86686e-06
input5, 37.64, 27.2, 1.86686e-06
FILLER_0_7_77, 37.64, 27.2, 1.86686e-06
_120_, 5.52, 21.76, 1.08991e-06
PHY_EDGE_ROW_3_Left_19, 5.52, 21.76, 1.08991e-06
PHY_EDGE_ROW_4_Left_20, 5.52, 21.76, 1.08991e-06
FILLER_0_5_3, 5.52, 21.76, 1.08991e-06
_044_, 50.14, 21.76, 1.34212e-06
_072_, 50.14, 21.76, 1.34212e-06
PHY_EDGE_ROW_3_Right_3, 50.14, 21.76, 1.34212e-06
PHY_EDGE_ROW_4_Right_4, 50.14, 21.76, 1.34212e-06
input4, 50.14, 21.76, 1.34212e-06
output13, 50.14, 21.76, 1.34212e-06
_045_, 15.33, 21.76, 9.86357e-07
_088_, 15.33, 21.76, 9.86357e-07
hold2, 15.33, 21.76, 9.86357e-07
FILLER_0_3_16, 15.33, 21.76, 9.86357e-07
_113_, 37.64, 21.76, 1.29541e-06
_121_, 37.64, 21.76, 1.29541e-06
_105_, 5.52, 16.32, 1.05056e-06
_119_, 5.52, 16.32, 1.05056e-06
PHY_EDGE_ROW_1_Left_17, 5.52, 16.32, 1.05056e-06
PHY_EDGE_ROW_2_Left_18, 5.52, 16.32, 1.05056e-06
input1, 5.52, 16.32, 1.05056e-06
FILLER_0_3_6, 5.52, 16.32, 1.05056e-06
PHY_EDGE_ROW_1_Right_1, 50.14, 16.32, 6.14032e-07
PHY_EDGE_ROW_2_Right_2, 50.14, 16.32, 6.14032e-07
output14, 50.14, 16.32, 6.14032e-07
FILLER_0_1_85, 50.14, 16.32, 6.14032e-07
FILLER_0_2_85, 50.14, 16.32, 6.14032e-07
_087_, 15.33, 16.32, 9.38257e-07
_111_, 15.33, 16.32, 9.38257e-07
FILLER_0_2_23, 15.33, 16.32, 9.38257e-07
_055_, 37.64, 16.32, 5.96935e-07
_060_, 37.64, 16.32, 5.96935e-07
_061_, 37.64, 16.32, 5.96935e-07
FILLER_0_2_62, 37.64, 16.32, 5.96935e-07
FILLER_0_2_74, 37.64, 16.32, 5.96935e-07
FILLER_0_3_81, 37.64, 16.32, 5.96935e-07
PHY_EDGE_ROW_0_Left_16, 5.52, 10.88, 3.16411e-07
PHY_EDGE_ROW_0_Right_0, 50.14, 10.88, 4.1837e-07
output17, 50.14, 10.88, 4.1837e-07
FILLER_0_0_91, 50.14, 10.88, 4.1837e-07
input7, 15.33, 10.88, 3.16403e-07
